region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callwait,forward,confer,ebill,lninc,custcat,churn
Zone 3,43,21,Married,1,25.00,Did not complete high school,4,No,Male,4,No,No,No,No,7.60,0.00,0.00,0.00,0.00,334.45,0.00,0.00,0.00,0.00,Yes,No,No,Yes,No,Yes,Yes,No,3.22,E-service,Yes
Zone 3,24,39,Unmarried,11,49.00,Some college,7,No,Female,1,No,Yes,No,No,7.45,0.00,30.90,0.00,0.00,177.20,0.00,657.25,0.00,0.00,No,No,No,Yes,No,No,No,No,3.89,Basic service,No
Zone 3,64,45,Unmarried,4,38.00,High school degree,7,No,Female,1,Yes,No,Yes,No,13.75,22.75,0.00,10.25,0.00,918.00,"1,447.40",0.00,610.00,0.00,Yes,Yes,No,No,No,Yes,Yes,No,3.64,Plus service,Yes
Zone 2,64,38,Unmarried,0,29.00,High school degree,2,No,Male,2,Yes,No,Yes,No,17.50,15.50,0.00,16.75,0.00,"1,114.45","1,141.55",0.00,"1,010.00",0.00,Yes,No,No,No,No,No,No,No,3.37,E-service,No
Zone 1,24,26,Unmarried,7,55.00,High school degree,7,No,Female,1,No,No,No,No,7.60,0.00,0.00,0.00,0.00,175.80,0.00,0.00,0.00,0.00,No,No,No,No,Yes,No,No,No,4.01,Basic service,No
Zone 3,33,55,Married,21,64.00,Some college,10,No,Female,3,Yes,No,Yes,No,5.15,14.50,0.00,24.75,0.00,163.05,494.55,0.00,775.00,0.00,No,No,No,No,No,Yes,Yes,No,4.16,Basic service,No
Zone 2,33,33,Married,12,42.00,College degree,7,No,Female,5,No,Yes,Yes,Yes,8.80,0.00,30.95,23.00,23.35,305.75,0.00,"1,019.15",730.00,665.35,Yes,Yes,No,No,No,No,No,No,3.74,E-service,No
Zone 1,2,40,Unmarried,9,134.00,College degree,2,No,Male,1,No,Yes,No,No,3.90,0.00,23.80,0.00,0.00,4.60,0.00,26.45,0.00,0.00,No,No,No,Yes,No,No,No,Yes,4.90,Basic service,No
Zone 2,42,48,Married,22,82.00,Did not complete high school,21,No,Female,5,Yes,No,Yes,No,9.30,25.00,0.00,17.00,0.00,459.00,"1,006.90",0.00,750.00,0.00,Yes,No,No,Yes,Yes,Yes,No,Yes,4.41,Total service,No
Zone 1,52,54,Married,5,153.00,Post-undergraduate degree,10,No,Male,2,No,Yes,No,Yes,11.05,0.00,36.30,0.00,30.15,555.85,0.00,"1,816.65",0.00,"1,525.15",Yes,Yes,No,Yes,No,No,No,Yes,5.03,E-service,Yes
Zone 1,45,66,Unmarried,43,144.00,High school degree,13,No,Female,1,No,No,Yes,No,7.75,0.00,0.00,13.00,0.00,338.80,0.00,0.00,565.00,0.00,Yes,No,No,Yes,No,No,No,No,4.97,E-service,No
Zone 3,3,25,Unmarried,4,22.00,College degree,0,No,Male,2,No,Yes,Yes,No,2.85,0.00,28.25,19.50,0.00,7.50,0.00,48.00,30.00,0.00,No,Yes,No,Yes,Yes,Yes,Yes,Yes,3.09,Total service,Yes
Zone 2,37,53,Married,16,35.00,Did not complete high school,16,No,Female,4,No,No,No,No,21.30,0.00,0.00,0.00,0.00,788.25,0.00,0.00,0.00,0.00,No,No,No,No,Yes,Yes,No,No,3.56,Plus service,No
Zone 2,28,57,Unmarried,33,82.00,College degree,22,No,Female,1,No,Yes,No,No,4.05,0.00,31.45,0.00,0.00,71.50,0.00,858.15,0.00,0.00,Yes,Yes,No,Yes,No,Yes,No,Yes,4.41,E-service,Yes
Zone 3,40,63,Married,9,61.00,Did not complete high school,22,No,Male,2,No,No,Yes,No,10.90,0.00,0.00,41.00,0.00,470.90,0.00,0.00,"1,635.00",0.00,No,No,No,No,No,No,No,No,4.11,Basic service,No
Zone 2,37,33,Unmarried,1,102.00,High school degree,12,No,Male,1,No,Yes,Yes,Yes,16.30,0.00,33.35,10.25,37.90,646.70,0.00,"1,108.05",360.00,"1,330.60",Yes,No,Yes,Yes,Yes,No,No,Yes,4.62,Total service,No
Zone 3,7,27,Unmarried,5,31.00,Some college,4,No,Male,5,Yes,Yes,No,Yes,4.15,15.00,46.05,0.00,41.85,30.80,96.60,271.75,0.00,235.55,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3.43,Total service,Yes
Zone 1,71,56,Unmarried,23,170.00,Did not complete high school,30,No,Female,1,Yes,No,Yes,No,14.20,27.00,0.00,30.00,0.00,"1,001.20","1,840.65",0.00,"2,140.00",0.00,Yes,Yes,Yes,No,Yes,Yes,Yes,No,5.14,Total service,No
Zone 2,19,46,Unmarried,11,26.00,High school degree,0,No,Female,1,No,No,Yes,No,6.05,0.00,0.00,5.00,0.00,121.70,0.00,0.00,90.00,0.00,No,No,No,Yes,Yes,No,Yes,Yes,3.26,Basic service,No
Zone 2,61,40,Unmarried,15,85.00,Some college,15,No,Female,1,Yes,No,Yes,No,13.65,29.25,0.00,22.75,0.00,831.15,"1,823.60",0.00,"1,310.00",0.00,Yes,No,No,No,Yes,Yes,Yes,Yes,4.44,Plus service,No
Zone 3,70,53,Married,16,183.00,High school degree,35,No,Female,2,No,No,Yes,No,32.90,0.00,0.00,15.00,0.00,"2,234.90",0.00,0.00,"1,085.00",0.00,Yes,No,No,No,No,No,No,No,5.21,E-service,No
Zone 2,60,55,Married,13,67.00,Did not complete high school,18,No,Female,2,No,No,Yes,No,10.75,0.00,0.00,14.75,0.00,697.70,0.00,0.00,925.00,0.00,No,No,No,No,No,No,No,No,4.20,Basic service,No
Zone 3,48,45,Married,5,42.00,Did not complete high school,11,No,Female,2,No,No,No,No,9.25,0.00,0.00,0.00,0.00,435.60,0.00,0.00,0.00,0.00,No,No,No,No,Yes,No,No,No,3.74,Basic service,No
Zone 1,8,63,Married,1,31.00,Did not complete high school,9,No,Male,2,Yes,No,Yes,No,2.25,13.75,0.00,11.25,0.00,16.80,102.55,0.00,80.00,0.00,No,No,No,No,No,Yes,Yes,No,3.43,Plus service,No
Zone 2,58,58,Married,10,96.00,High school degree,17,No,Male,4,Yes,No,No,No,12.50,23.00,0.00,0.00,0.00,710.80,"1,345.95",0.00,0.00,0.00,Yes,No,No,No,Yes,No,Yes,No,4.56,Plus service,No
Zone 1,16,24,Married,5,24.00,Some college,2,No,Male,5,No,No,Yes,No,9.40,0.00,0.00,14.75,0.00,124.20,0.00,0.00,215.00,0.00,No,No,No,No,Yes,Yes,No,No,3.18,Plus service,No
Zone 2,33,33,Unmarried,4,53.00,High school degree,14,No,Female,1,No,No,No,No,5.05,0.00,0.00,0.00,0.00,145.85,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,No,3.97,Basic service,No
Zone 2,39,25,Unmarried,4,18.00,Did not complete high school,0,No,Female,1,No,No,No,No,6.75,0.00,0.00,0.00,0.00,242.70,0.00,0.00,0.00,0.00,Yes,No,No,No,Yes,No,Yes,No,2.89,Plus service,No
Zone 1,62,51,Unmarried,10,43.00,College degree,19,No,Male,2,No,Yes,Yes,Yes,27.15,0.00,42.70,17.00,41.15,"1,632.40",0.00,"2,583.85","1,015.00","2,521.05",Yes,No,Yes,Yes,No,No,No,Yes,3.76,E-service,No
Zone 1,50,34,Unmarried,10,104.00,Some college,9,No,Male,1,Yes,Yes,Yes,Yes,27.50,21.75,52.10,20.25,47.90,"1,444.45","1,219.55","2,568.40",960.00,"2,368.40",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.64,Total service,No
Zone 2,48,55,Unmarried,31,26.00,Did not complete high school,1,No,Male,1,No,No,No,No,12.15,0.00,0.00,0.00,0.00,606.10,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,No,3.26,Basic service,No
Zone 3,31,62,Unmarried,5,56.00,High school degree,26,No,Female,1,Yes,No,Yes,No,4.30,22.25,0.00,13.75,0.00,123.50,744.45,0.00,435.00,0.00,No,Yes,No,No,Yes,Yes,Yes,No,4.03,Plus service,No
Zone 2,65,33,Married,9,49.00,High school degree,6,No,Male,5,Yes,No,Yes,No,42.90,17.25,0.00,17.50,0.00,"2,706.80","1,094.10",0.00,"1,190.00",0.00,Yes,No,No,No,No,Yes,No,No,3.89,E-service,No
Zone 1,36,58,Unmarried,34,80.00,Did not complete high school,21,No,Female,1,No,No,Yes,No,8.50,0.00,0.00,8.50,0.00,298.25,0.00,0.00,260.00,0.00,Yes,No,No,No,Yes,No,No,No,4.38,E-service,No
Zone 1,61,46,Unmarried,5,318.00,Some college,18,No,Female,1,Yes,No,Yes,No,28.90,39.25,0.00,84.75,0.00,"1,796.70","2,442.75",0.00,"5,115.00",0.00,Yes,Yes,No,No,Yes,Yes,Yes,No,5.76,Plus service,No
Zone 2,48,42,Unmarried,21,35.00,College degree,5,No,Male,1,No,No,No,No,12.90,0.00,0.00,0.00,0.00,589.35,0.00,0.00,0.00,0.00,Yes,No,No,No,Yes,Yes,No,No,3.56,Plus service,No
Zone 3,35,45,Unmarried,17,29.00,Did not complete high school,6,No,Male,1,No,No,No,No,8.40,0.00,0.00,0.00,0.00,300.35,0.00,0.00,0.00,0.00,No,No,No,No,No,Yes,No,No,3.37,Basic service,No
Zone 1,51,28,Unmarried,8,43.00,Post-undergraduate degree,1,No,Male,5,Yes,Yes,Yes,Yes,11.15,35.00,77.70,20.00,80.35,623.00,"1,920.50","3,925.50",955.00,"4,059.90",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.76,Total service,No
Zone 2,49,51,Married,5,80.00,Post-undergraduate degree,3,No,Male,2,No,Yes,Yes,Yes,5.75,0.00,51.75,36.00,36.70,285.40,0.00,"2,435.35","1,810.00","1,679.45",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.38,Total service,Yes
Zone 1,35,39,Married,11,30.00,Some college,2,No,Female,3,Yes,No,No,No,6.85,27.75,0.00,0.00,0.00,224.85,929.95,0.00,0.00,0.00,No,No,Yes,No,No,Yes,Yes,No,3.40,Plus service,Yes
Zone 1,58,70,Unmarried,2,9.00,Some college,24,Yes,Female,1,No,Yes,Yes,Yes,23.30,0.00,48.35,29.75,35.15,"1,384.45",0.00,"2,632.40","1,730.00","1,975.70",Yes,No,No,Yes,No,No,Yes,No,2.20,E-service,No
Zone 1,23,35,Married,0,23.00,High school degree,1,No,Male,5,No,No,No,No,6.70,0.00,0.00,0.00,0.00,153.90,0.00,0.00,0.00,0.00,No,No,No,No,No,Yes,Yes,No,3.14,Plus service,No
Zone 2,26,39,Married,15,58.00,College degree,9,No,Female,2,Yes,No,Yes,Yes,8.65,21.25,0.00,6.50,19.65,210.60,567.55,0.00,145.00,493.85,No,No,No,Yes,No,Yes,Yes,No,4.06,Plus service,No
Zone 1,38,37,Married,1,52.00,Did not complete high school,20,No,Female,4,Yes,No,Yes,Yes,12.20,41.50,0.00,18.75,54.40,532.55,"1,686.30",0.00,705.00,"2,051.10",Yes,Yes,Yes,No,Yes,Yes,Yes,No,3.95,Total service,No
Zone 1,35,66,Married,44,14.00,Some college,12,Yes,Female,2,Yes,No,No,No,4.70,31.00,0.00,0.00,0.00,202.50,"1,135.00",0.00,0.00,0.00,No,No,No,No,Yes,Yes,Yes,No,2.64,Plus service,No
Zone 2,37,50,Unmarried,9,110.00,High school degree,21,No,Female,1,Yes,No,Yes,No,9.65,28.50,0.00,11.25,0.00,364.05,992.40,0.00,375.00,0.00,No,No,No,No,Yes,Yes,Yes,No,4.70,Plus service,No
Zone 2,48,43,Married,1,60.00,High school degree,12,No,Male,2,Yes,Yes,Yes,No,15.50,19.25,29.60,31.50,0.00,719.70,905.15,"1,500.75","1,495.00",0.00,Yes,No,No,No,Yes,No,No,No,4.09,E-service,No
Zone 3,13,43,Married,1,123.00,Some college,21,No,Male,5,Yes,Yes,Yes,No,3.85,23.00,33.05,6.75,0.00,55.05,317.50,439.30,75.00,0.00,No,No,Yes,Yes,Yes,Yes,No,Yes,4.81,Total service,No
Zone 1,72,63,Married,29,15.00,Post-undergraduate degree,31,Yes,Male,2,No,No,Yes,No,20.60,0.00,0.00,31.25,0.00,"1,547.45",0.00,0.00,"2,180.00",0.00,Yes,No,No,No,No,Yes,Yes,No,2.71,Plus service,No
Zone 1,30,27,Unmarried,4,47.00,College degree,2,No,Female,2,No,No,Yes,No,10.75,0.00,0.00,21.25,0.00,296.90,0.00,0.00,600.00,0.00,Yes,No,No,Yes,No,No,No,No,3.85,E-service,Yes
Zone 1,24,43,Unmarried,14,138.00,College degree,11,No,Female,1,Yes,No,Yes,Yes,6.65,20.25,0.00,8.00,24.65,130.60,445.60,0.00,180.00,551.15,Yes,No,No,Yes,Yes,No,Yes,No,4.93,Plus service,No
Zone 2,25,51,Married,20,359.00,Some college,29,No,Male,2,Yes,Yes,Yes,Yes,5.75,27.50,39.20,40.50,21.40,163.75,676.15,881.45,975.00,475.55,No,Yes,Yes,No,Yes,Yes,Yes,No,5.88,Total service,No
Zone 2,50,52,Unmarried,30,214.00,Some college,22,No,Male,1,Yes,Yes,Yes,Yes,11.50,26.25,40.70,12.00,48.30,610.35,"1,287.70","1,943.00",530.00,"2,412.75",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.37,Total service,No
Zone 2,28,40,Unmarried,7,64.00,Did not complete high school,19,No,Male,1,Yes,No,No,No,6.00,27.50,0.00,0.00,0.00,167.65,722.50,0.00,0.00,0.00,No,No,No,No,No,No,Yes,No,4.16,Plus service,No
Zone 3,34,51,Unmarried,8,50.00,College degree,14,No,Male,1,No,No,Yes,No,16.15,0.00,0.00,15.75,0.00,531.35,0.00,0.00,480.00,0.00,No,Yes,No,No,No,No,No,Yes,3.91,Basic service,No
Zone 1,48,32,Unmarried,2,88.00,Some college,9,No,Male,1,Yes,No,Yes,Yes,6.15,33.75,0.00,29.75,44.75,307.65,"1,603.80",0.00,"1,390.00","2,119.35",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.48,Total service,No
Zone 2,42,36,Married,8,86.00,High school degree,15,No,Female,2,No,Yes,No,No,9.80,0.00,30.60,0.00,0.00,436.45,0.00,"1,222.30",0.00,0.00,Yes,No,No,No,No,No,No,No,4.45,E-service,No
Zone 3,67,65,Married,30,17.00,Did not complete high school,29,Yes,Female,2,Yes,No,Yes,No,21.70,26.25,0.00,12.00,0.00,"1,384.05","1,721.25",0.00,785.00,0.00,Yes,No,No,No,No,Yes,No,No,2.83,Plus service,No
Zone 1,17,41,Married,7,25.00,High school degree,17,No,Male,3,No,Yes,No,No,6.45,0.00,29.00,0.00,0.00,114.30,0.00,449.95,0.00,0.00,No,No,No,Yes,Yes,Yes,No,Yes,3.22,Plus service,No
Zone 1,29,38,Married,19,46.00,High school degree,6,No,Male,2,No,Yes,No,No,8.35,0.00,22.95,0.00,0.00,248.60,0.00,584.90,0.00,0.00,Yes,No,No,No,No,No,No,Yes,3.83,E-service,No
Zone 3,66,61,Unmarried,26,361.00,Did not complete high school,40,No,Female,1,No,No,Yes,No,12.75,0.00,0.00,38.50,0.00,782.00,0.00,0.00,"2,615.00",0.00,Yes,No,No,No,No,No,Yes,No,5.89,E-service,No
Zone 2,1,21,Unmarried,1,18.00,Some college,0,No,Female,1,No,Yes,No,No,2.70,0.00,32.70,0.00,0.00,2.70,0.00,32.70,0.00,0.00,No,No,No,Yes,No,No,Yes,Yes,2.89,Basic service,Yes
Zone 1,28,33,Married,3,14.00,College degree,1,No,Male,3,Yes,Yes,No,Yes,4.55,15.75,33.00,0.00,23.95,145.95,504.90,869.85,0.00,618.65,Yes,No,Yes,Yes,Yes,Yes,No,Yes,2.64,Total service,Yes
Zone 1,15,35,Married,5,34.00,Some college,8,No,Male,2,No,Yes,No,No,5.15,0.00,25.55,0.00,0.00,110.55,0.00,350.25,0.00,0.00,Yes,No,No,Yes,No,No,No,Yes,3.53,E-service,Yes
Zone 2,12,64,Unmarried,13,9.00,High school degree,6,Yes,Female,1,Yes,Yes,Yes,No,3.80,30.00,32.80,8.50,0.00,52.85,317.75,376.60,95.00,0.00,No,No,No,Yes,Yes,Yes,Yes,Yes,2.20,Plus service,No
Zone 3,48,49,Unmarried,18,39.00,High school degree,5,No,Female,1,Yes,Yes,Yes,Yes,7.00,24.50,42.80,23.50,30.75,399.75,"1,229.60","2,099.35","1,140.00","1,394.50",Yes,Yes,Yes,No,Yes,Yes,Yes,No,3.66,Total service,Yes
Zone 2,59,25,Married,4,18.00,Some college,2,No,Male,4,No,Yes,Yes,No,20.10,0.00,32.55,22.75,0.00,"1,251.40",0.00,"1,882.65","1,415.00",0.00,No,No,No,No,No,No,No,No,2.89,Basic service,No
Zone 3,8,26,Married,1,25.00,College degree,1,No,Male,2,No,Yes,No,No,3.15,0.00,20.05,0.00,0.00,29.90,0.00,138.40,0.00,0.00,No,No,No,Yes,No,No,No,Yes,3.22,Basic service,Yes
Zone 1,45,52,Unmarried,15,46.00,Post-undergraduate degree,8,No,Female,1,No,No,Yes,No,9.40,0.00,0.00,8.75,0.00,402.10,0.00,0.00,395.00,0.00,Yes,No,No,No,No,No,No,Yes,3.83,E-service,Yes
Zone 1,25,39,Married,8,94.00,College degree,11,No,Female,4,No,Yes,No,No,3.95,0.00,30.75,0.00,0.00,95.20,0.00,681.20,0.00,0.00,Yes,No,No,No,No,No,No,No,4.54,E-service,Yes
Zone 1,21,44,Married,4,26.00,Some college,2,No,Male,2,Yes,Yes,Yes,Yes,7.55,41.00,42.35,23.50,35.75,160.65,863.30,890.75,485.00,702.95,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3.26,Total service,No
Zone 2,17,68,Married,1,335.00,Did not complete high school,35,No,Female,3,Yes,No,Yes,Yes,3.55,18.75,0.00,29.25,27.90,70.25,285.90,0.00,525.00,422.85,No,Yes,Yes,No,Yes,Yes,Yes,No,5.81,Total service,No
Zone 2,41,45,Unmarried,14,25.00,Some college,6,No,Male,1,No,Yes,Yes,Yes,7.80,0.00,42.40,14.00,23.20,370.80,0.00,"1,675.70",535.00,945.30,No,No,No,Yes,No,Yes,Yes,Yes,3.22,Basic service,Yes
Zone 1,13,45,Married,3,99.00,Some college,8,No,Female,2,No,No,Yes,No,8.70,0.00,0.00,23.75,0.00,103.40,0.00,0.00,240.00,0.00,No,Yes,No,Yes,No,Yes,No,No,4.60,Plus service,Yes
Zone 2,1,26,Married,3,30.00,High school degree,7,No,Female,5,No,Yes,No,No,1.05,0.00,15.40,0.00,0.00,1.05,0.00,15.40,0.00,0.00,No,No,No,No,No,No,No,Yes,3.40,Basic service,Yes
Zone 3,3,31,Married,4,35.00,High school degree,2,No,Female,3,Yes,Yes,No,Yes,4.35,12.75,34.05,0.00,21.50,11.00,30.20,75.30,0.00,28.50,No,Yes,Yes,Yes,No,Yes,No,Yes,3.56,Total service,Yes
Zone 1,23,27,Married,2,51.00,Post-undergraduate degree,1,No,Female,2,No,Yes,No,No,3.90,0.00,24.15,0.00,0.00,94.95,0.00,574.35,0.00,0.00,No,Yes,No,No,No,No,No,No,3.93,Basic service,Yes
Zone 3,26,42,Unmarried,20,49.00,Some college,13,No,Male,1,Yes,Yes,Yes,Yes,3.50,25.00,43.65,24.50,27.70,82.30,638.10,"1,054.40",625.00,633.40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.89,Total service,Yes
Zone 1,37,51,Married,15,54.00,Did not complete high school,15,No,Male,3,Yes,No,Yes,No,9.55,16.50,0.00,8.25,0.00,323.65,614.15,0.00,225.00,0.00,Yes,No,No,No,Yes,No,Yes,No,3.99,Plus service,No
Zone 3,5,30,Unmarried,3,46.00,College degree,7,No,Male,1,No,Yes,No,No,4.30,0.00,32.10,0.00,0.00,17.55,0.00,121.55,0.00,0.00,Yes,No,No,Yes,No,No,No,Yes,3.83,E-service,Yes
Zone 1,32,27,Married,3,91.00,College degree,1,No,Female,3,Yes,Yes,Yes,Yes,5.50,16.00,42.65,3.75,41.30,189.05,543.15,"1,247.30",100.00,"1,269.10",No,Yes,Yes,Yes,No,No,Yes,Yes,4.51,Total service,Yes
Zone 3,12,22,Unmarried,1,23.00,College degree,0,No,Male,2,No,No,No,No,4.05,0.00,0.00,0.00,0.00,33.75,0.00,0.00,0.00,0.00,No,No,No,No,No,Yes,No,No,3.14,Basic service,No
Zone 1,72,54,Married,6,345.00,Did not complete high school,32,No,Male,2,No,No,Yes,No,75.45,0.00,0.00,18.25,0.00,"5,464.60",0.00,0.00,"1,305.00",0.00,Yes,No,No,No,Yes,No,Yes,No,5.84,Plus service,No
Zone 3,3,25,Married,2,45.00,College degree,0,No,Female,2,Yes,Yes,No,No,3.00,15.75,31.15,0.00,0.00,9.15,53.05,87.60,0.00,0.00,No,No,No,Yes,No,No,No,Yes,3.81,Basic service,Yes
Zone 1,54,43,Unmarried,12,53.00,High school degree,12,No,Male,1,Yes,No,Yes,No,14.35,32.25,0.00,16.75,0.00,775.90,"1,749.40",0.00,845.00,0.00,Yes,No,No,No,Yes,Yes,Yes,No,3.97,Plus service,No
Zone 2,26,26,Unmarried,2,14.00,High school degree,6,No,Female,1,Yes,Yes,No,Yes,7.80,36.50,38.70,0.00,27.90,204.25,884.20,914.50,0.00,764.55,Yes,No,Yes,Yes,No,Yes,Yes,Yes,2.64,Total service,Yes
Zone 3,14,36,Unmarried,13,67.00,Post-undergraduate degree,4,No,Female,1,No,Yes,No,No,14.05,0.00,25.10,0.00,0.00,187.40,0.00,303.60,0.00,0.00,No,No,No,Yes,Yes,No,No,No,4.20,Basic service,No
Zone 3,22,51,Unmarried,27,49.00,Some college,1,No,Male,1,No,Yes,Yes,No,9.00,0.00,30.45,17.50,0.00,150.70,0.00,649.10,370.00,0.00,No,No,Yes,No,No,Yes,No,Yes,3.89,Basic service,No
Zone 3,65,47,Married,18,37.00,Did not complete high school,15,No,Female,4,No,No,Yes,No,19.05,0.00,0.00,14.00,0.00,"1,174.60",0.00,0.00,900.00,0.00,No,No,No,No,No,No,No,No,3.61,Basic service,No
Zone 3,26,45,Unmarried,18,33.00,Did not complete high school,9,No,Male,1,Yes,No,Yes,No,9.60,24.25,0.00,11.25,0.00,285.35,563.50,0.00,295.00,0.00,No,No,No,No,No,No,Yes,No,3.50,Basic service,No
Zone 1,20,37,Unmarried,5,46.00,Some college,10,No,Female,4,No,Yes,Yes,Yes,4.90,0.00,44.60,6.25,41.35,91.55,0.00,878.00,90.00,815.80,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,3.83,Total service,No
Zone 2,67,60,Married,32,93.00,Did not complete high school,21,No,Male,4,No,Yes,Yes,No,18.85,0.00,32.00,42.75,0.00,"1,200.70",0.00,"2,189.80","2,665.00",0.00,Yes,No,No,No,No,No,No,Yes,4.53,E-service,No
Zone 1,34,55,Unmarried,2,48.00,High school degree,11,No,Male,1,No,No,No,No,4.25,0.00,0.00,0.00,0.00,143.35,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,No,3.87,Basic service,No
Zone 1,37,54,Married,35,183.00,High school degree,22,No,Male,3,Yes,No,Yes,No,7.30,20.50,0.00,7.50,0.00,257.60,769.40,0.00,260.00,0.00,No,No,No,No,Yes,No,Yes,No,5.21,Plus service,No
Zone 2,22,23,Married,3,16.00,Did not complete high school,5,No,Male,4,No,No,Yes,No,5.40,0.00,0.00,8.50,0.00,120.40,0.00,0.00,205.00,0.00,No,No,No,No,No,No,No,No,2.77,Basic service,No
Zone 2,5,69,Unmarried,0,11.00,High school degree,14,Yes,Male,1,Yes,No,Yes,No,6.65,9.75,0.00,8.00,0.00,35.20,44.80,0.00,30.00,0.00,No,No,No,No,No,No,No,No,2.40,Basic service,No
Zone 1,28,31,Married,0,42.00,College degree,5,No,Female,3,Yes,No,No,No,12.25,23.75,0.00,0.00,0.00,373.80,674.50,0.00,0.00,0.00,Yes,No,No,No,No,No,Yes,No,3.74,Plus service,No
Zone 1,20,41,Married,7,67.00,College degree,14,No,Female,4,No,No,No,No,7.25,0.00,0.00,0.00,0.00,149.10,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,No,4.20,Basic service,No
Zone 3,72,41,Unmarried,20,181.00,College degree,12,No,Male,1,Yes,Yes,Yes,Yes,27.30,23.25,69.40,7.75,52.40,"1,963.95","1,645.80","4,980.80",520.00,"3,790.55",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.20,Total service,No
Zone 2,30,43,Unmarried,18,53.00,College degree,6,No,Male,1,No,Yes,No,No,7.00,0.00,26.80,0.00,0.00,232.90,0.00,738.90,0.00,0.00,No,No,No,Yes,No,No,Yes,Yes,3.97,Basic service,No
Zone 3,71,52,Unmarried,17,172.00,High school degree,32,No,Male,1,Yes,Yes,Yes,Yes,49.25,41.50,50.90,27.25,68.10,"3,599.30","3,015.60","3,469.15","1,850.00","4,828.20",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5.15,Total service,No
Zone 2,56,44,Unmarried,24,87.00,High school degree,19,No,Male,1,Yes,No,Yes,No,14.75,42.25,0.00,16.25,0.00,822.25,"2,396.65",0.00,830.00,0.00,No,No,No,No,Yes,Yes,Yes,No,4.47,Plus service,No
Zone 1,8,29,Married,2,21.00,Post-undergraduate degree,0,No,Male,2,No,Yes,No,No,4.15,0.00,24.30,0.00,0.00,39.70,0.00,167.05,0.00,0.00,No,No,No,No,No,No,No,No,3.04,Basic service,Yes
Zone 2,32,65,Unmarried,6,9.00,High school degree,30,Yes,Female,1,No,No,No,No,6.25,0.00,0.00,0.00,0.00,201.35,0.00,0.00,0.00,0.00,Yes,No,No,Yes,No,No,No,Yes,2.20,E-service,No
Zone 2,46,47,Unmarried,22,144.00,Some college,22,No,Female,2,Yes,No,No,No,3.50,28.25,0.00,0.00,0.00,179.95,"1,284.55",0.00,0.00,0.00,No,No,No,No,Yes,Yes,Yes,No,4.97,Plus service,Yes
Zone 3,60,45,Married,23,117.00,College degree,11,No,Male,3,Yes,Yes,Yes,Yes,12.40,28.00,51.70,19.50,52.90,755.70,"1,721.25","3,035.75","1,135.00","3,094.65",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.76,Total service,No
Zone 2,42,32,Married,0,59.00,College degree,4,No,Female,6,Yes,Yes,Yes,Yes,16.70,38.25,53.45,22.75,72.60,681.50,"1,676.20","2,253.95",880.00,"2,805.75",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.08,Total service,No
Zone 3,71,60,Married,39,508.00,College degree,35,No,Male,4,Yes,No,Yes,No,23.55,48.25,0.00,21.00,0.00,"1,665.60","3,474.05",0.00,"1,465.00",0.00,Yes,Yes,Yes,No,Yes,Yes,Yes,No,6.23,Total service,No
Zone 2,72,63,Married,40,222.00,High school degree,43,Yes,Female,2,Yes,No,Yes,No,81.55,62.25,0.00,15.50,0.00,"5,988.50","4,439.25",0.00,"1,150.00",0.00,Yes,No,Yes,No,Yes,Yes,Yes,No,5.40,Plus service,No
Zone 3,45,66,Unmarried,11,87.00,Some college,25,Yes,Female,1,No,No,Yes,No,6.05,0.00,0.00,21.25,0.00,306.90,0.00,0.00,880.00,0.00,No,No,No,No,No,No,No,No,4.47,Basic service,No
Zone 3,5,31,Unmarried,4,34.00,Did not complete high school,9,No,Male,1,Yes,Yes,Yes,Yes,1.60,17.25,31.10,12.75,19.85,6.15,78.85,128.95,60.00,69.90,No,Yes,No,No,Yes,Yes,Yes,No,3.53,Plus service,Yes
Zone 2,17,38,Married,19,18.00,College degree,0,No,Female,4,No,No,No,No,8.55,0.00,0.00,0.00,0.00,162.25,0.00,0.00,0.00,0.00,Yes,No,No,No,No,No,No,No,2.89,E-service,No
